название;url;genre;подписки;просмотры;количество авторов
Wind Breaker;https://www.webtoons.com/en/sports/wind-breaker/list?title_no=372;Sports;1600000;330500000;1
Hanlim Gym;https://www.webtoons.com/en/sports/hanlim-gym/list?title_no=2850;Sports;200343;8400000;2
Double Click;https://www.webtoons.com/en/sports/double-click/list?title_no=3669;Sports;214145;5400000;3
The Build Up;https://www.webtoons.com/en/sports/the-build-up/list?title_no=2712;Sports;202625;9600000;1
No Scope;https://www.webtoons.com/en/sports/no-scope/list?title_no=1572;Sports;678585;61800000;1
Infinity;https://www.webtoons.com/en/sports/infinity/list?title_no=3451;Sports;94767;2100000;1
Taekwondo Kid;https://www.webtoons.com/en/sports/taekwondo-kid/list?title_no=3310;Sports;75649;2300000;1
Plum;https://www.webtoons.com/en/sports/plum/list?title_no=1605;Sports;127426;6300000;1
Ecstasy Hearts;https://www.webtoons.com/en/sports/ecstasy-hearts/list?title_no=604;Sports;1400000;146300000;1
Just for Kicks;https://www.webtoons.com/en/slice-of-life/just-for-kicks/list?title_no=1152;Slice of life;256330;27200000;1
Be Still My Heart;https://www.webtoons.com/en/sports/be-still-my-heart/list?title_no=4012;Sports;29192;588546;1
Skate!!! Fire 100;https://www.webtoons.com/en/sports/skate-fire-100/list?title_no=1674;Sports;81374;2100000;2
Eat Fighter;https://www.webtoons.com/en/sports/eat-fighter/list?title_no=1460;Sports;27756;1000000;2
The Boxer;https://www.webtoons.com/en/sports/the-boxer/list?title_no=2027;Sports;1500000;162600000;1
Blades of Furry;https://www.webtoons.com/en/romance/blades-of-furry/list?title_no=2383;Romance;447471;29400000;2
Like Wind on a Dry Branch;https://www.webtoons.com/en/fantasy/like-wind-on-a-dry-branch/list?title_no=2405;Fantasy;1300000;69700000;2
Return of the Blossoming Blade;https://www.webtoons.com/en/action/return-of-the-blossoming-blade/list?title_no=2849;Action;421179;16900000;2
The Lazy LordMasters the Sword;https://www.webtoons.com/en/fantasy/the-lazy-lord-masters-the-sword/list?title_no=3349;Fantasy;318127;12100000;3
Return of the Mad Demon;https://www.webtoons.com/en/historical/return-of-the-mad-demon/list?title_no=3671;Historical;311093;7800000;3
Shadow Bride;https://www.webtoons.com/en/romance/shadow-bride/list?title_no=2618;Romance;413736;16500000;2
The Double Agent;https://www.webtoons.com/en/historical/the-double-agent/list?title_no=3209;Historical;281558;7900000;3
How to Become a Dragon;https://www.webtoons.com/en/fantasy/how-to-become-a-dragon/list?title_no=1973;Fantasy;463403;21600000;1
The Snake and the Flower;https://www.webtoons.com/en/historical/the-snake-and-the-flower/list?title_no=2619;Historical;226167;5900000;1
Madame Outlaw;https://www.webtoons.com/en/historical/madame-outlaw/list?title_no=2716;Historical;278822;8100000;2
Miss Abbott and the Doctor;https://www.webtoons.com/en/romance/miss-abbott-and-the-doctor/list?title_no=707;Romance;730720;95000000;1
The Weight of Our Sky;https://www.webtoons.com/en/historical/the-weight-of-our-sky/list?title_no=1739;Historical;255401;8300000;2
Lavender Jack;https://www.webtoons.com/en/super-hero/lavender-jack/list?title_no=1410;Superhero;113323;4900000;1
The Kiss Bet;https://www.webtoons.com/en/romance/the-kiss-bet/list?title_no=1617;Romance;1400000;110300000;1
Brass & Sass;https://www.webtoons.com/en/romance/brass-and-sass/list?title_no=1652;Romance;739122;61400000;1
Odd Girl Out;https://www.webtoons.com/en/drama/odd-girl-out/list?title_no=1420;Drama;890254;165000000;1
The Doctors are Out;https://www.webtoons.com/en/romance/the-doctors-are-out/list?title_no=1910;Romance;537394;37400000;1
It's On;https://www.webtoons.com/en/slice-of-life/its-on/list?title_no=2958;Slice of life;102646;1900000;1
The Dog Diaries;https://www.webtoons.com/en/slice-of-life/the-dog-diaries/list?title_no=3041;Slice of life;84695;2500000;1
Our House;https://www.webtoons.com/en/slice-of-life/our-house/list?title_no=3789;Slice of life;82363;1200000;2
Superstar AssociateManager;https://www.webtoons.com/en/drama/superstar-associate-manager/list?title_no=4357;Drama;48239;267430;3
Your Letter;https://www.webtoons.com/en/drama/your-letter/list?title_no=1540;Drama;543995;10800000;1
When the Day Comes;https://www.webtoons.com/en/heartwarming/when-the-day-comes/list?title_no=2620;Heartwarming;240972;8100000;1
Aerial Magic;https://www.webtoons.com/en/fantasy/aerial-magic/list?title_no=1358;Fantasy;545577;16700000;1
Life Outside the Circle;https://www.webtoons.com/en/drama/life-outside-the-circle/list?title_no=1260;Drama;211630;12600000;1
Small World;https://www.webtoons.com/en/slice-of-life/small-world/list?title_no=1159;Slice of life;873809;265000000;1
Kids Are All Right;https://www.webtoons.com/en/drama/kids-are-all-right/list?title_no=283;Drama;97742;6100000;1
HEART Anthology;https://www.webtoons.com/en/heartwarming/heart-anthology/list?title_no=2191;Heartwarming;233875;12000000;3
Taste of Illness;https://www.webtoons.com/en/drama/taste-of-illness/list?title_no=2506;Drama;161347;3300000;1
Yuna & Kawachan;https://www.webtoons.com/en/drama/yuna-and-kawachan/list?title_no=1840;Drama;219881;10100000;1
Strawberry Seafoam;https://www.webtoons.com/en/fantasy/strawberry-seafoam/list?title_no=1248;Fantasy;383504;26400000;1
Smile Brush;https://www.webtoons.com/en/slice-of-life/smile-brush/list?title_no=94;Slice of life;118680;8300000;1
About Death;https://www.webtoons.com/en/drama/about-death/list?title_no=82;Drama;136937;6200000;2
How to Love;https://www.webtoons.com/en/slice-of-life/how-to-love/list?title_no=472;Slice of life;119315;11100000;1
Smile Brush: My Old Pictures;https://www.webtoons.com/en/slice-of-life/smile-brush-my-old-pictures/list?title_no=302;Slice of life;79934;5700000;1
My Kitty and Old Dog;https://www.webtoons.com/en/slice-of-life/my-kitty-and-old-dog/list?title_no=184;Slice of life;109273;16100000;1
Roar Street Journal;https://www.webtoons.com/en/slice-of-life/roar-street-journal/list?title_no=397;Slice of life;58416;10700000;1
Westwood Vibrato;https://www.webtoons.com/en/drama/westwood-vibrato/list?title_no=537;Drama;61393;2800000;2
All That We Hope to Be;https://www.webtoons.com/en/slice-of-life/all-that-we-hope-to-be/list?title_no=470;Slice of life;60189;2300000;1
Just Ask Yuli;https://www.webtoons.com/en/slice-of-life/just-ask-yuli/list?title_no=402;Slice of life;14913;572697;1
Hello World!;https://www.webtoons.com/en/slice-of-life/hello-world/list?title_no=827;Slice of life;30788;1700000;1
Penguin Loves Mev;https://www.webtoons.com/en/slice-of-life/penguin-loves-mev/list?title_no=86;Slice of life;32904;5400000;1
Jingle Jungle;https://www.webtoons.com/en/slice-of-life/jingle-jungle/list?title_no=282;Slice of life;13459;930378;1
Nothing Special;https://www.webtoons.com/en/fantasy/nothing-special/list?title_no=1188;Fantasy;411256;29000000;1
Little Rain;https://www.webtoons.com/en/romance/little-rain/list?title_no=2612;Romance;363693;5400000;1
Everything is Fine;https://www.webtoons.com/en/horror/everything-is-fine/list?title_no=2578;Horror;1300000;72800000;1
Not Even Bones;https://www.webtoons.com/en/thriller/not-even-bones/list?title_no=1756;Thriller;1700000;115400000;3
Stagtown;https://www.webtoons.com/en/horror/stagtown/list?title_no=2532;Horror;264841;10400000;1
The Dummy's Dummy;https://www.webtoons.com/en/horror/the-dummys-dummy/list?title_no=2874;Horror;150896;3200000;1
Tales of the Unusual;https://www.webtoons.com/en/horror/tales-of-the-unusual/list?title_no=68;Horror;800499;155100000;1
The Predator;https://www.webtoons.com/en/thriller/the-predator/list?title_no=3454;Thriller;172321;4000000;2
Counting Sheep;https://www.webtoons.com/en/horror/counting-sheep/list?title_no=3795;Horror;60407;889154;1
Roach;https://www.webtoons.com/en/horror/roach/list?title_no=4084;Horror;56633;1000000;2
Horang's Nightmare;https://www.webtoons.com/en/horror/horang-horror/list?title_no=2185;Horror;684914;21700000;1
Night of Silence;https://www.webtoons.com/en/thriller/night-of-silence/list?title_no=3765;Thriller;70695;670976;2
The Red Book;https://www.webtoons.com/en/horror/the-red-book/list?title_no=467;Horror;251248;16300000;1
Sweet Home;https://www.webtoons.com/en/thriller/sweethome/list?title_no=1285;Thriller;3100000;248500000;2
All of Us Are Dead;https://www.webtoons.com/en/thriller/all-of-us-are-dead/list?title_no=2810;Thriller;459138;16500000;1
Have You Any Fear?;https://www.webtoons.com/en/horror/have-you-any-fear/list?title_no=1197;Horror;218515;4700000;1
Zombie Ship;https://www.webtoons.com/en/horror/zombie-ship/list?title_no=3350;Horror;134352;2800000;3
Distant Sky;https://www.webtoons.com/en/horror/distant-sky/list?title_no=75;Horror;415774;23300000;2
The Vault of Horror: A Collection of Nightmares;https://www.webtoons.com/en/horror/the-vault-of-horror-a-collection-of-nightmares/list?title_no=295;Horror;226056;8700000;1
Melvina's Therapy;https://www.webtoons.com/en/horror/melvinas-therapy/list?title_no=1021;Horror;433161;27300000;1
Hell is Other People;https://www.webtoons.com/en/thriller/hell-is-other-people/list?title_no=3176;Thriller;159305;5500000;1
GremoryLand;https://www.webtoons.com/en/horror/gremoryland/list?title_no=1893;Horror;409236;22200000;1
Shriek;https://www.webtoons.com/en/thriller/shriek/list?title_no=772;Thriller;364148;28100000;1
Elena;https://www.webtoons.com/en/horror/elena/list?title_no=484;Horror;111426;5700000;1
Ghost Teller;https://www.webtoons.com/en/horror/ghost-teller/list?title_no=1307;Horror;1000000;53200000;1
Beetle Hands;https://www.webtoons.com/en/horror/beetle-hands/list?title_no=2247;Horror;132084;2700000;1
Forest of Humans;https://www.webtoons.com/en/thriller/forest-of-humans/list?title_no=2922;Thriller;119957;2800000;1
BRAIN Anthology;https://www.webtoons.com/en/horror/brain-anthology/list?title_no=2207;Horror;142223;6200000;1
Witch Creek Road;https://www.webtoons.com/en/horror/witch-creek-road/list?title_no=1453;Horror;477851;21800000;2
Rot & Ruin;https://www.webtoons.com/en/horror/rot-and-ruin/list?title_no=1878;Horror;364166;13500000;6
ANT;https://www.webtoons.com/en/thriller/ant/list?title_no=3482;Thriller;78396;1700000;1
HIVE;https://www.webtoons.com/en/thriller/hive/list?title_no=65;Thriller;462404;66700000;1
DEAD DAYS;https://www.webtoons.com/en/horror/dead-days/list?title_no=293;Horror;220886;15500000;1
Wolfsbane;https://www.webtoons.com/en/horror/wolfsbane/list?title_no=1826;Horror;70839;1300000;2
Island;https://www.webtoons.com/en/action/island/list?title_no=3923;Action;42448;588629;2
Uriah;https://www.webtoons.com/en/horror/uriah/list?title_no=1607;Horror;419570;23200000;1
Surviving Romance;https://www.webtoons.com/en/horror/survive-romance/list?title_no=2607;Horror;602189;27200000;1
#Killstagram;https://www.webtoons.com/en/thriller/killstagram/list?title_no=1971;Thriller;891593;40800000;1
Sarah, I'm Sorry:Welcome to Our Galaxy;https://www.webtoons.com/en/tiptoon/sarah-im-sorry-welcome-to-our-galaxy/list?title_no=3665;Informative;142536;1200000;2
Drawing on Heritage;https://www.webtoons.com/en/tiptoon/drawing-on-heritage/list?title_no=4315;Informative;30718;552197;1
Rewriting Extinction;https://www.webtoons.com/en/comedy/rewriting-extinction/list?title_no=3648;Comedy;99210;1600000;1
Illuminated;https://www.webtoons.com/en/tiptoon/illuminated/list?title_no=2813;Informative;109262;910660;3
Staying Healthy Together;https://www.webtoons.com/en/tiptoon/staying-healthy-together/list?title_no=1963;Informative;203630;15600000;1
Cooking Comically;https://www.webtoons.com/en/tiptoon/cooking-comically/list?title_no=622;Informative;141169;5600000;1
WEBTOON Now;https://www.webtoons.com/en/tiptoon/webtoon-now/list?title_no=2025;Informative;535480;44400000;2
